wf_id,poly_Acres_AutoCalc,irwin_InitialLatitude,irwin_InitialLongitude,rain_acumm,mean,count
1182,65.9285465766147,32.97091,-112.6885,0.0,97.27571428571429,12.0
1189,4.35568884505054,43.02161,-113.0077,39.0,67.73142857142857,1.0
1198,10.2088520502755,33.39014,-110.4583,68.0,82.42571428571429,1.0
1199,9001.52103137332,33.84177,-110.6847,711.0,67.54571428571428,3.0
1204,132.64399231106,29.09738,-81.81277,168.0,88.4557142857143,5.0
1215,39.3452858928806,33.19321,-110.5206,68.0,82.42571428571429,1.0
1218,1.42023097962088,32.6888,-111.4577,3.0,88.0076923076923,6.0
1225,6.9627127714964,33.27583,-86.08592,564.0,89.63857142857144,7.0
1229,11.1379044983368,33.84494,-116.5835,0.0,68.63333333333334,1.0
1230,295.027914175016,39.64155,-122.8409,71.0,74.70714285714287,1.0
1231,1.11956233144319,33.28834,-111.2607,0.0,95.70714285714288,13.0
1233,80.1933848181827,35.6955,-98.34798,265.0,74.23285714285714,1.0
1234,1671.98791396579,41.0039,-111.4692,67.0,67.90714285714286,1.0
1235,90.7948426264159,44.881133,-115.970033,186.0,63.34,1.0
1249,3.225508157203,42.39804,-114.3176,82.0,65.00571428571429,1.0
1256,13.3011359319483,39.34934,-112.266,142.0,72.0,1.0
1258,2.27177729123681,35.87959,-115.2124,0.0,84.28999999999999,3.0
1263,16.8023220750157,33.80445,-112.2394,0.0,86.0,5.0
1266,320.838127893101,34.76496,-118.73354,25.0,71.49857142857142,1.0
1284,209.94986225637,34.50521,-118.4508,21.0,75.41857142857144,2.0
1288,15.3032696830245,33.29274,-110.444,68.0,82.42571428571429,1.0
1290,2.97964460284042,29.06938,-81.8305,168.0,88.4557142857143,5.0
1314,13.9059805406453,25.569465,-80.649848,54.0,87.94142857142857,3.0
1316,329.005020070037,44.83306,-111.7928,381.0,69.35428571428572,3.0
1317,8.24084271990453,39.62875,-119.9187,3.0,72.37846153846155,2.0
1319,31.4078148785862,33.06297,-109.5744,0.0,83.71142857142857,3.0
1325,22623.9407173167,41.063783,-120.76155,356.0,62.12571428571429,2.0
1328,30.4807125285676,35.60883,-83.83039,290.0,68.05857142857143,1.0
1329,1.18858696386299,46.74803,-105.2274,63.0,69.41,1.0
1335,29.797790212787,25.3979,-80.66795,1326.0,89.87,8.0
1338,90.7114590925885,34.8681,-113.6437,0.0,89.50999999999999,2.0
1356,2.30572319947389,36.7396,-114.1733,0.0,86.21857142857142,3.0
